Plate Name,Stains - Official CellPainting Versions,Batch,Percent Replicating,Percent Matching
BR00116620,v 2,Stain4,0.5888888888888889,0.20930232558139536
BR00116621,v 2,Stain4,0.5444444444444444,0.18604651162790697
BR00116624,v 2,Stain4,0.6,0.18604651162790697
BR00116629,v 2.5,Stain4,0.6222222222222222,0.23255813953488372
BR00116630,v 2.5,Stain4,0.6444444444444445,0.23255813953488372
BR00116631,v 2.5,Stain4,0.6333333333333333,0.20930232558139536
BR00120523,v 2.5,Stain5,0.5888888888888889,0.23255813953488372
BR00120524,v 2.5,Stain5,0.5333333333333333,0.18604651162790697
BR00120525,v 2.5,Stain5,0.5333333333333333,0.23255813953488372
BR00120526,v 2.5,Stain5,0.5777777777777777,0.23255813953488372
BR00120527,v 2.5,Stain5,0.5666666666666667,0.27906976744186046
BR00120528,v 2.5,Stain5,0.5333333333333333,0.23255813953488372
BR00120529,v 2.5,Stain5,0.6,0.2558139534883721
BR00120530,v 2.5,Stain5,0.5333333333333333,0.20930232558139536
BR00120270,v 3,Stain5,0.5888888888888889,0.2558139534883721
BR00120271,v 3,Stain5,0.5666666666666667,0.27906976744186046
BR00120272,v 3,Stain5,0.5444444444444444,0.2558139534883721
BR00120273,v 3,Stain5,0.5444444444444444,0.27906976744186046
BR00120274,v 3,Stain5,0.5111111111111111,0.27906976744186046
BR00120275,v 3,Stain5,0.5444444444444444,0.23255813953488372
BR00120276,v 3,Stain5,0.5111111111111111,0.2558139534883721
BR00120277,v 3,Stain5,0.5333333333333333,0.20930232558139536
