Plate Name List,Treatment timepoint,Cell Type,Percent Replicating,Modality,sphere
"['BR00116991', 'BR00116992', 'BR00116993', 'BR00116994']",24.0,A549,0.8660130718954249,Compounds,None
"['BR00116991', 'BR00116992', 'BR00116993', 'BR00116994']",24.0,A549,0.6143790849673203,Compounds,batch
"['BR00116991', 'BR00116992', 'BR00116993', 'BR00116994']",24.0,A549,0.565359477124183,Compounds,plate
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",48.0,A549,0.9607843137254902,Compounds,None
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",48.0,A549,0.7058823529411765,Compounds,batch
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",48.0,A549,0.6993464052287581,Compounds,plate
"['BR00117020', 'BR00117021']",48.0,A549,0.30625,ORF,None
"['BR00117020', 'BR00117021']",48.0,A549,0.23125,ORF,batch
"['BR00117020', 'BR00117021']",48.0,A549,0.19375,ORF,plate
"['BR00118050', 'BR00117006']",96.0,A549,0.3125,ORF,None
"['BR00118050', 'BR00117006']",96.0,A549,0.2375,ORF,batch
"['BR00118050', 'BR00117006']",96.0,A549,0.2125,ORF,plate
"['BR00118041', 'BR00118042', 'BR00118043', 'BR00118044']",96.0,A549,0.4131147540983607,CRISPR,None
"['BR00118041', 'BR00118042', 'BR00118043', 'BR00118044']",96.0,A549,0.34098360655737703,CRISPR,batch
"['BR00118041', 'BR00118042', 'BR00118043', 'BR00118044']",96.0,A549,0.24262295081967214,CRISPR,plate
"['BR00117000', 'BR00117003', 'BR00117004', 'BR00117005']",144.0,A549,0.46229508196721314,CRISPR,None
"['BR00117000', 'BR00117003', 'BR00117004', 'BR00117005']",144.0,A549,0.3180327868852459,CRISPR,batch
"['BR00117000', 'BR00117003', 'BR00117004', 'BR00117005']",144.0,A549,0.2786885245901639,CRISPR,plate
"['BR00116995', 'BR00117024', 'BR00117025', 'BR00117026']",24.0,U2OS,0.7777777777777778,Compounds,None
"['BR00116995', 'BR00117024', 'BR00117025', 'BR00117026']",24.0,U2OS,0.6699346405228758,Compounds,batch
"['BR00116995', 'BR00117024', 'BR00117025', 'BR00117026']",24.0,U2OS,0.6111111111111112,Compounds,plate
"['BR00117010', 'BR00117011', 'BR00117012', 'BR00117013']",48.0,U2OS,0.7941176470588235,Compounds,None
"['BR00117010', 'BR00117011', 'BR00117012', 'BR00117013']",48.0,U2OS,0.6339869281045751,Compounds,batch
"['BR00117010', 'BR00117011', 'BR00117012', 'BR00117013']",48.0,U2OS,0.5816993464052288,Compounds,plate
"['BR00117022', 'BR00117023']",48.0,U2OS,0.5,ORF,None
"['BR00117022', 'BR00117023']",48.0,U2OS,0.53125,ORF,batch
"['BR00117022', 'BR00117023']",48.0,U2OS,0.5125,ORF,plate
"['BR00118039', 'BR00118040']",96.0,U2OS,0.45625,ORF,None
"['BR00118039', 'BR00118040']",96.0,U2OS,0.38125,ORF,batch
"['BR00118039', 'BR00118040']",96.0,U2OS,0.35,ORF,plate
"['BR00118045', 'BR00118046', 'BR00118047', 'BR00118048']",96.0,U2OS,0.6885245901639344,CRISPR,None
"['BR00118045', 'BR00118046', 'BR00118047', 'BR00118048']",96.0,U2OS,0.5344262295081967,CRISPR,batch
"['BR00118045', 'BR00118046', 'BR00118047', 'BR00118048']",96.0,U2OS,0.4360655737704918,CRISPR,plate
"['BR00116996', 'BR00116997', 'BR00116998', 'BR00116999']",144.0,U2OS,0.5278688524590164,CRISPR,None
"['BR00116996', 'BR00116997', 'BR00116998', 'BR00116999']",144.0,U2OS,0.39344262295081966,CRISPR,batch
"['BR00116996', 'BR00116997', 'BR00116998', 'BR00116999']",144.0,U2OS,0.3180327868852459,CRISPR,plate
