Plate Name,Binning,Batch,Percent Replicating,Percent Matching
BR00112197,1x1,Stain2,62.22222222222222,20.930232558139537
BR00112197,2x2,Stain2,60.0,23.25581395348837
BR00115134,1x1,Stain3,67.77777777777779,18.6046511627907
BR00115134,2x2,Stain3,55.55555555555556,20.930232558139537
200922_044247-V,1x1,Stain4,62.22222222222222,23.25581395348837
BR00116633,1x1,Stain4,61.111111111111114,23.25581395348837
BR00116634,1x1,Stain4,55.55555555555556,30.23255813953488
BR00116632,2x2,Stain4,62.22222222222222,20.930232558139537
BR00116633,2x2,Stain4,57.77777777777777,25.581395348837212
BR00116634,2x2,Stain4,55.55555555555556,20.930232558139537
BR00117030,1x1,Plate1,66.66666666666666,20.930232558139537
BR00117031,1x1,Plate1,68.88888888888889,23.25581395348837
BR00117032,1x1,Plate1,66.66666666666666,23.25581395348837
BR00117030,2x2,Plate1,66.66666666666666,20.930232558139537
BR00117031,2x2,Plate1,63.33333333333333,20.930232558139537
BR00117032,2x2,Plate1,64.44444444444444,23.25581395348837
