Plate Name List,Days between staining and imaging,Batch,Percent Replicating,Cell Type
"['BR00117020', 'BR00117021']",0.0,ConditionA,0.3125,A549
"['BR00118050', 'BR00117006']",0.0,ConditionB,0.3125,A549
"['BR00117022', 'BR00117023']",0.0,ConditionA,0.5,U2OS
"['BR00118039', 'BR00118040']",0.0,ConditionB,0.45625,U2OS
"['BR00117020', 'BR00117021']",1.0,ConditionA,0.256198347107438,A549
"['BR00118050', 'BR00117006']",1.0,ConditionB,0.21487603305785125,A549
"['BR00117022', 'BR00117023']",1.0,ConditionA,0.30578512396694213,U2OS
"['BR00118039', 'BR00118040']",1.0,ConditionB,0.3305785123966942,U2OS
"['BR00117020', 'BR00117021']",4.0,ConditionA,0.0,A549
"['BR00118050', 'BR00117006']",4.0,ConditionB,0.0,A549
"['BR00117022', 'BR00117023']",4.0,ConditionA,0.0,U2OS
"['BR00118039', 'BR00118040']",4.0,ConditionB,0.1322314049586777,U2OS
"['BR00117020', 'BR00117021']",14.0,ConditionA,0.3125,A549
"['BR00118050', 'BR00117006']",14.0,ConditionB,0.2875,A549
"['BR00117022', 'BR00117023']",14.0,ConditionA,0.51875,U2OS
"['BR00118039', 'BR00118040']",14.0,ConditionB,0.475,U2OS
"['BR00117020', 'BR00117021']",28.0,ConditionA,0.2625,A549
"['BR00118050', 'BR00117006']",28.0,ConditionB,0.26875,A549
"['BR00117022', 'BR00117023']",28.0,ConditionA,0.4875,U2OS
"['BR00118039', 'BR00118040']",28.0,ConditionB,0.21875,U2OS
