BR00120270,BR00120271,BR00120272,BR00120273,BR00120274,BR00120275,BR00120276,BR00120277,70_featnum,71_featnum,72_featnum,73_featnum,74_featnum,75_featnum,76_featnum,77_featnum,Mean,Median,Standard deviation,Dropout,Remaining,n_columns
0.6,0.5888888888888889,0.5666666666666667,0.5333333333333333,0.5,0.5111111111111111,0.4888888888888889,0.4888888888888889,112.0,113.0,114.0,115.0,119.0,122.0,118.0,123.0,0.5347222222222222,0.5222222222222221,0.042104184420067,(),"['AreaShape', 'Correlation', 'Granularity', 'Intensity', 'Neighbors', 'RadialDistribution', 'Texture']",795.0
0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5555555555555556,0.5,0.5111111111111111,0.4888888888888889,0.4888888888888889,105.0,110.0,110.0,110.0,115.0,117.0,114.0,119.0,0.5305555555555556,0.5333333333333333,0.03413390479845697,"('Granularity',)","['AreaShape', 'Correlation', 'Intensity', 'Neighbors', 'RadialDistribution', 'Texture']",747.0
0.5777777777777777,0.5333333333333333,0.5777777777777777,0.5444444444444444,0.5,0.5111111111111111,0.4888888888888889,0.5444444444444444,50.0,50.0,49.0,49.0,52.0,51.0,51.0,50.0,0.5347222222222222,0.5388888888888889,0.031149529850008045,"('Correlation',)","['AreaShape', 'Granularity', 'Intensity', 'Neighbors', 'RadialDistribution', 'Texture']",591.0
0.5222222222222223,0.5666666666666667,0.5222222222222223,0.5222222222222223,0.45555555555555555,0.4444444444444444,0.4,0.37777777777777777,96.0,97.0,95.0,98.0,102.0,104.0,102.0,105.0,0.4763888888888889,0.48888888888888893,0.0627156772493091,"('RadialDistribution',)","['AreaShape', 'Correlation', 'Granularity', 'Intensity', 'Neighbors', 'Texture']",759.0
0.6,0.5666666666666667,0.5666666666666667,0.5333333333333333,0.5,0.5222222222222223,0.4777777777777778,0.5111111111111111,112.0,113.0,114.0,115.0,119.0,122.0,118.0,123.0,0.5347222222222222,0.5277777777777778,0.037858369917886124,"('Neighbors',)","['AreaShape', 'Correlation', 'Granularity', 'Intensity', 'RadialDistribution', 'Texture']",795.0
0.6,0.5888888888888889,0.5666666666666667,0.5333333333333333,0.5,0.5222222222222223,0.4888888888888889,0.5111111111111111,112.0,113.0,114.0,115.0,119.0,122.0,118.0,123.0,0.5388888888888889,0.5277777777777778,0.03888888888888889,"('AreaShape',)","['Correlation', 'Granularity', 'Intensity', 'Neighbors', 'RadialDistribution', 'Texture']",795.0
0.5777777777777777,0.5666666666666667,0.5555555555555556,0.5777777777777777,0.5222222222222223,0.5111111111111111,0.5111111111111111,0.45555555555555555,105.0,106.0,107.0,108.0,113.0,117.0,111.0,118.0,0.5347222222222222,0.538888888888889,0.03984441191050291,"('Intensity',)","['AreaShape', 'Correlation', 'Granularity', 'Neighbors', 'RadialDistribution', 'Texture']",732.0
0.5444444444444444,0.5555555555555556,0.5333333333333333,0.5333333333333333,0.5,0.4888888888888889,0.5,0.5,103.0,103.0,103.0,104.0,108.0,110.0,105.0,113.0,0.5194444444444445,0.5166666666666666,0.023405971592156554,"('Texture',)","['AreaShape', 'Correlation', 'Granularity', 'Intensity', 'Neighbors', 'RadialDistribution']",327.0
0.5444444444444444,0.5333333333333333,0.5555555555555556,0.5333333333333333,0.5111111111111111,0.5,0.5,0.5444444444444444,46.0,44.0,43.0,42.0,45.0,45.0,45.0,43.0,0.5277777777777778,0.5333333333333333,0.020030840419244383,"('Correlation', 'Texture')","['AreaShape', 'Granularity', 'Intensity', 'Neighbors', 'RadialDistribution']",159.0
0.5333333333333333,0.5,0.5222222222222223,0.5222222222222223,0.4777777777777778,0.45555555555555555,0.4222222222222222,0.4111111111111111,90.0,90.0,89.0,92.0,96.0,99.0,95.0,100.0,0.4805555555555555,0.48888888888888893,0.044008276438207955,"('Intensity', 'RadialDistribution')","['AreaShape', 'Correlation', 'Granularity', 'Neighbors', 'Texture']",696.0
