Plate Name List,Fields of view,Batch,Percent Replicating
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",1.0,CPJUMP1,66.99346405228758
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",1.0,CPJUMP1,63.39869281045751
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",1.0,CPJUMP1,64.05228758169935
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",2.0,CPJUMP1,69.93464052287581
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",2.0,CPJUMP1,72.54901960784314
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",2.0,CPJUMP1,72.54901960784314
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",3.0,CPJUMP1,79.08496732026144
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",3.0,CPJUMP1,78.10457516339869
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",3.0,CPJUMP1,78.75816993464052
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",4.0,CPJUMP1,73.20261437908496
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",4.0,CPJUMP1,83.33333333333334
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",4.0,CPJUMP1,88.23529411764706
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",5.0,CPJUMP1,86.27450980392157
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",5.0,CPJUMP1,77.45098039215686
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",5.0,CPJUMP1,83.66013071895425
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",6.0,CPJUMP1,87.90849673202614
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",6.0,CPJUMP1,81.69934640522875
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",6.0,CPJUMP1,85.94771241830065
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",7.0,CPJUMP1,92.15686274509804
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",7.0,CPJUMP1,85.62091503267973
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",7.0,CPJUMP1,88.88888888888889
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",8.0,CPJUMP1,89.86928104575163
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",8.0,CPJUMP1,90.19607843137256
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",8.0,CPJUMP1,92.48366013071896
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",9.0,CPJUMP1,88.23529411764706
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",9.0,CPJUMP1,90.52287581699346
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",9.0,CPJUMP1,94.11764705882352
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",10.0,CPJUMP1,91.50326797385621
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",10.0,CPJUMP1,94.11764705882352
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",10.0,CPJUMP1,93.79084967320262
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",11.0,CPJUMP1,94.44444444444444
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",11.0,CPJUMP1,95.09803921568627
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",11.0,CPJUMP1,93.79084967320262
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",12.0,CPJUMP1,94.77124183006535
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",12.0,CPJUMP1,96.73202614379085
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",12.0,CPJUMP1,94.77124183006535
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",13.0,CPJUMP1,96.73202614379085
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",13.0,CPJUMP1,96.07843137254902
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",13.0,CPJUMP1,96.40522875816994
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",14.0,CPJUMP1,95.42483660130719
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",14.0,CPJUMP1,95.75163398692811
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",14.0,CPJUMP1,96.40522875816994
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",15.0,CPJUMP1,95.75163398692811
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",15.0,CPJUMP1,95.42483660130719
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",15.0,CPJUMP1,97.38562091503267
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",16.0,CPJUMP1,96.73202614379085
