Plate Name,Imaging modality,Batch,Percent Replicating,Percent Matching
BR00112197,Widefield,Stain2,62.22222222222222,20.930232558139537
BR00112198,Widefield,Stain2,61.111111111111114,20.930232558139537
BR00112200,Confocal (4 Channels),Stain2,53.333333333333336,18.6046511627907
BR00120523,Widefield,Stain5-CondA,58.88888888888889,23.25581395348837
BR00120524,Widefield,Stain5-CondA,53.333333333333336,18.6046511627907
BR00120525,Widefield,Stain5-CondA,53.333333333333336,20.930232558139537
BR00120526,Widefield,Stain5-CondA,57.77777777777777,20.930232558139537
BR00120527,Widefield,Stain5-CondA,56.666666666666664,27.906976744186046
BR00120528,Widefield,Stain5-CondA,53.333333333333336,23.25581395348837
BR00120529,Widefield,Stain5-CondA,60.0,25.581395348837212
BR00120530,Widefield,Stain5-CondA,54.44444444444444,20.930232558139537
BR00120523,Confocal (5 Channels),Stain5-CondA,55.55555555555556,23.25581395348837
BR00120524,Confocal (5 Channels),Stain5-CondA,60.0,20.930232558139537
BR00120525,Confocal (5 Channels),Stain5-CondA,55.55555555555556,25.581395348837212
BR00120526,Confocal (5 Channels),Stain5-CondA,61.111111111111114,20.930232558139537
BR00120527,Confocal (5 Channels),Stain5-CondA,57.77777777777777,23.25581395348837
BR00120528,Confocal (5 Channels),Stain5-CondA,60.0,25.581395348837212
BR00120529,Confocal (5 Channels),Stain5-CondA,60.0,27.906976744186046
BR00120530,Confocal (5 Channels),Stain5-CondA,57.77777777777777,23.25581395348837
BR00120531,Widefield,Stain5-CondB,54.44444444444444,27.906976744186046
BR00120532,Widefield,Stain5-CondB,55.55555555555556,23.25581395348837
BR00120533,Widefield,Stain5-CondB,51.11111111111111,20.930232558139537
BR00120534,Widefield,Stain5-CondB,51.11111111111111,20.930232558139537
BR00120535,Widefield,Stain5-CondB,51.11111111111111,23.25581395348837
BR00120536,Widefield,Stain5-CondB,58.88888888888889,23.25581395348837
BR00120537,Widefield,Stain5-CondB,56.666666666666664,27.906976744186046
BR00120538,Widefield,Stain5-CondB,54.44444444444444,16.27906976744186
BR00120531,Confocal (5 Channels),Stain5-CondB,57.77777777777777,20.930232558139537
BR00120532,Confocal (5 Channels),Stain5-CondB,60.0,18.6046511627907
BR00120533,Confocal (5 Channels),Stain5-CondB,56.666666666666664,18.6046511627907
BR00120534,Confocal (5 Channels),Stain5-CondB,51.11111111111111,20.930232558139537
BR00120535,Confocal (5 Channels),Stain5-CondB,56.666666666666664,25.581395348837212
BR00120536,Confocal (5 Channels),Stain5-CondB,56.666666666666664,20.930232558139537
BR00120537,Confocal (5 Channels),Stain5-CondB,54.44444444444444,27.906976744186046
BR00120538,Confocal (5 Channels),Stain5-CondB,52.22222222222223,20.930232558139537
BR00120270,Widefield,Stain5-CondC,58.88888888888889,25.581395348837212
BR00120271,Widefield,Stain5-CondC,56.666666666666664,27.906976744186046
BR00120272,Widefield,Stain5-CondC,54.44444444444444,23.25581395348837
BR00120273,Widefield,Stain5-CondC,54.44444444444444,27.906976744186046
BR00120274,Widefield,Stain5-CondC,51.11111111111111,27.906976744186046
BR00120275,Widefield,Stain5-CondC,54.44444444444444,23.25581395348837
BR00120276,Widefield,Stain5-CondC,51.11111111111111,23.25581395348837
BR00120277,Widefield,Stain5-CondC,52.22222222222223,20.930232558139537
BR00120270,Confocal (5 Channels),Stain5-CondC,63.33333333333333,27.906976744186046
BR00120271,Confocal (5 Channels),Stain5-CondC,57.77777777777777,25.581395348837212
BR00120272,Confocal (5 Channels),Stain5-CondC,55.55555555555556,23.25581395348837
BR00120273,Confocal (5 Channels),Stain5-CondC,55.55555555555556,25.581395348837212
BR00120274,Confocal (5 Channels),Stain5-CondC,53.333333333333336,27.906976744186046
BR00120275,Confocal (5 Channels),Stain5-CondC,52.22222222222223,25.581395348837212
BR00120276,Confocal (5 Channels),Stain5-CondC,57.77777777777777,25.581395348837212
BR00120277,Confocal (5 Channels),Stain5-CondC,57.77777777777777,23.25581395348837
