Plate Name,Microscope,Batch,Percent Replicating,Percent Matching
BR00115134,"Microscope A, Widefield, 2x2 binned",StainCondA,0.5555555555555556,0.20930232558139536
BR00115133,"Microscope A, Widefield, 2x2 binned",StainCondB,0.5888888888888889,0.23255813953488372
BR00115132,"Microscope A, Widefield, 2x2 binned",StainCondC,0.5888888888888889,0.18604651162790697
BR00115131,"Microscope A, Widefield, 2x2 binned",StainCondD,0.6111111111111112,0.18604651162790697
BR00115129,"Microscope A, Widefield, 2x2 binned",StainCondE,0.6333333333333333,0.20930232558139536
BR00115128,"Microscope A, Widefield, 2x2 binned",StainCondF,0.5888888888888889,0.20930232558139536
BR00115127,"Microscope A, Widefield, 2x2 binned",StainCondG,0.5777777777777777,0.18604651162790697
BR00115126,"Microscope A, Widefield, 2x2 binned",StainCondH,0.6111111111111112,0.23255813953488372
BR00115125,"Microscope A, Widefield, 2x2 binned",StainCondI,0.6222222222222222,0.23255813953488372
BR00115134,"Microscope B, Confocal, 1x1 binned",StainCondA,0.5777777777777777,0.20930232558139536
BR00115133,"Microscope B, Confocal, 1x1 binned",StainCondB,0.6111111111111112,0.16279069767441862
BR00115132,"Microscope B, Confocal, 1x1 binned",StainCondC,0.5888888888888889,0.20930232558139536
BR00115131,"Microscope B, Confocal, 1x1 binned",StainCondD,0.6444444444444445,0.20930232558139536
BR00115129,"Microscope B, Confocal, 1x1 binned",StainCondE,0.6222222222222222,0.18604651162790697
BR00115128,"Microscope B, Confocal, 1x1 binned",StainCondF,0.6333333333333333,0.20930232558139536
BR00115127,"Microscope B, Confocal, 1x1 binned",StainCondG,0.6666666666666666,0.23255813953488372
BR00115126,"Microscope B, Confocal, 1x1 binned",StainCondH,0.6,0.20930232558139536
BR00115125,"Microscope B, Confocal, 1x1 binned",StainCondI,0.5888888888888889,0.20930232558139536
