BR00120270,BR00120271,BR00120272,BR00120273,BR00120274,BR00120275,BR00120276,BR00120277,70_featnum,71_featnum,72_featnum,73_featnum,74_featnum,75_featnum,76_featnum,77_featnum,Mean,Median,Standard deviation,Dropout,Remaining,n_columns
0.5555555555555556,0.5777777777777777,0.5444444444444444,0.5,0.5333333333333333,0.5333333333333333,0.5555555555555556,0.5222222222222223,97.0,99.0,98.0,100.0,121.0,114.0,120.0,122.0,0.5402777777777779,0.5388888888888889,0.022178776975932367,(),"['AreaShape', 'Correlation', 'Granularity', 'Intensity', 'Neighbors', 'RadialDistribution', 'Texture']",795.0
0.5444444444444444,0.5666666666666667,0.5444444444444444,0.5111111111111111,0.5222222222222223,0.5222222222222223,0.5444444444444444,0.5444444444444444,97.0,98.0,96.0,98.0,115.0,108.0,115.0,116.0,0.5375,0.5444444444444444,0.016608695476529708,"('Granularity',)","['AreaShape', 'Correlation', 'Intensity', 'Neighbors', 'RadialDistribution', 'Texture']",747.0
0.5888888888888889,0.5222222222222223,0.6,0.5444444444444444,0.5222222222222223,0.4777777777777778,0.5,0.5333333333333333,36.0,38.0,41.0,38.0,53.0,51.0,53.0,54.0,0.5361111111111111,0.5277777777777778,0.038789555677135934,"('Correlation',)","['AreaShape', 'Granularity', 'Intensity', 'Neighbors', 'RadialDistribution', 'Texture']",591.0
0.5444444444444444,0.5333333333333333,0.43333333333333335,0.4888888888888889,0.4888888888888889,0.4777777777777778,0.5,0.4888888888888889,86.0,88.0,84.0,87.0,104.0,98.0,102.0,105.0,0.49444444444444446,0.4888888888888889,0.03191423692521126,"('RadialDistribution',)","['AreaShape', 'Correlation', 'Granularity', 'Intensity', 'Neighbors', 'Texture']",759.0
0.5555555555555556,0.5777777777777777,0.5444444444444444,0.5,0.5222222222222223,0.5333333333333333,0.5555555555555556,0.5222222222222223,97.0,99.0,98.0,100.0,121.0,114.0,120.0,122.0,0.538888888888889,0.5388888888888889,0.022906142364542543,"('Neighbors',)","['AreaShape', 'Correlation', 'Granularity', 'Intensity', 'RadialDistribution', 'Texture']",795.0
0.5555555555555556,0.5777777777777777,0.5444444444444444,0.5,0.5222222222222223,0.5222222222222223,0.5444444444444444,0.5222222222222223,97.0,99.0,98.0,100.0,121.0,114.0,120.0,122.0,0.5361111111111111,0.5333333333333333,0.022737091032979006,"('AreaShape',)","['Correlation', 'Granularity', 'Intensity', 'Neighbors', 'RadialDistribution', 'Texture']",795.0
0.5555555555555556,0.5888888888888889,0.5555555555555556,0.5111111111111111,0.5444444444444444,0.5333333333333333,0.5444444444444444,0.5666666666666667,93.0,95.0,91.0,95.0,114.0,105.0,112.0,115.0,0.55,0.55,0.021516574145596778,"('Intensity',)","['AreaShape', 'Correlation', 'Granularity', 'Neighbors', 'RadialDistribution', 'Texture']",732.0
0.5666666666666667,0.5888888888888889,0.5222222222222223,0.5111111111111111,0.5,0.5222222222222223,0.5444444444444444,0.5666666666666667,87.0,92.0,87.0,92.0,110.0,101.0,107.0,111.0,0.5402777777777777,0.5333333333333333,0.029364409044258296,"('Texture',)","['AreaShape', 'Correlation', 'Granularity', 'Intensity', 'Neighbors', 'RadialDistribution']",327.0
0.5666666666666667,0.5333333333333333,0.5777777777777777,0.5333333333333333,0.5333333333333333,0.4888888888888889,0.4777777777777778,0.5333333333333333,32.0,34.0,38.0,35.0,47.0,44.0,45.0,47.0,0.5305555555555556,0.5333333333333333,0.03179311983960997,"('Correlation', 'Texture')","['AreaShape', 'Granularity', 'Intensity', 'Neighbors', 'RadialDistribution']",159.0
0.5666666666666667,0.5444444444444444,0.45555555555555555,0.5111111111111111,0.5111111111111111,0.4888888888888889,0.5,0.4888888888888889,81.0,83.0,77.0,82.0,95.0,89.0,94.0,97.0,0.5083333333333333,0.5055555555555555,0.03227486121839514,"('Intensity', 'RadialDistribution')","['AreaShape', 'Correlation', 'Granularity', 'Neighbors', 'Texture']",696.0
