Percent Replicating,Polybrene effect on compounds and matching,Plate Comparison
0.6491803278688525,Target2 - Target2,BR00121434 - BR00121435
0.6622950819672131,Target2 - Target2,BR00121434 - BR00121440
0.6666666666666666,Target2 - Target2,BR00121435 - BR00121440
0.4426229508196721,Target2 - Target2 + Polybrene,BR00121431 - BR00121434
0.4360655737704918,Target2 - Target2 + Polybrene,BR00121432 - BR00121434
0.47540983606557374,Target2 - Target2 + Polybrene,BR00121433 - BR00121434
0.46078431372549017,Target2 - Target2 + Polybrene,BR00121431 - BR00121435
0.4215686274509804,Target2 - Target2 + Polybrene,BR00121432 - BR00121435
0.46078431372549017,Target2 - Target2 + Polybrene,BR00121433 - BR00121435
0.43790849673202614,Target2 - Target2 + Polybrene,BR00121431 - BR00121440
0.45098039215686275,Target2 - Target2 + Polybrene,BR00121432 - BR00121440
0.4411764705882353,Target2 - Target2 + Polybrene,BR00121433 - BR00121440
0.5261437908496732,Target2 + Polybrene - Target2 + Polybrene,BR00121431 - BR00121432
0.5294117647058824,Target2 + Polybrene - Target2 + Polybrene,BR00121431 - BR00121433
0.5915032679738562,Target2 + Polybrene - Target2 + Polybrene,BR00121432 - BR00121433
