BR00120270,BR00120271,BR00120272,BR00120273,BR00120274,BR00120275,BR00120276,BR00120277,70_featnum,71_featnum,72_featnum,73_featnum,74_featnum,75_featnum,76_featnum,77_featnum,Mean,Median,Standard deviation,Dropout,Remaining,n_columns
0.5555555555555556,0.5777777777777777,0.5888888888888889,0.5222222222222223,0.4888888888888889,0.5111111111111111,0.4888888888888889,0.4666666666666667,111.0,114.0,118.0,113.0,114.0,114.0,114.0,115.0,0.525,0.5166666666666666,0.04185144214810934,(),"['AreaShape', 'Correlation', 'Granularity', 'Intensity', 'Neighbors', 'RadialDistribution', 'Texture']",795.0
0.5444444444444444,0.5333333333333333,0.5777777777777777,0.5,0.4444444444444444,0.5111111111111111,0.4888888888888889,0.4777777777777778,107.0,111.0,113.0,108.0,109.0,107.0,111.0,111.0,0.5097222222222222,0.5055555555555555,0.039062114195625636,"('Granularity',)","['AreaShape', 'Correlation', 'Intensity', 'Neighbors', 'RadialDistribution', 'Texture']",747.0
0.5333333333333333,0.5444444444444444,0.5666666666666667,0.5444444444444444,0.4777777777777778,0.5,0.4777777777777778,0.5444444444444444,51.0,48.0,53.0,50.0,48.0,52.0,50.0,52.0,0.5236111111111111,0.5388888888888889,0.03164107152748474,"('Correlation',)","['AreaShape', 'Granularity', 'Intensity', 'Neighbors', 'RadialDistribution', 'Texture']",591.0
0.5111111111111111,0.5222222222222223,0.5111111111111111,0.45555555555555555,0.4222222222222222,0.4666666666666667,0.4444444444444444,0.37777777777777777,98.0,100.0,101.0,98.0,98.0,99.0,101.0,101.0,0.46388888888888885,0.46111111111111114,0.04672945511461312,"('RadialDistribution',)","['AreaShape', 'Correlation', 'Granularity', 'Intensity', 'Neighbors', 'Texture']",759.0
0.5555555555555556,0.5777777777777777,0.5888888888888889,0.5222222222222223,0.4666666666666667,0.5111111111111111,0.4666666666666667,0.45555555555555555,111.0,114.0,118.0,113.0,114.0,114.0,114.0,115.0,0.5180555555555555,0.5166666666666666,0.04904567661947104,"('Neighbors',)","['AreaShape', 'Correlation', 'Granularity', 'Intensity', 'RadialDistribution', 'Texture']",795.0
0.5555555555555556,0.5777777777777777,0.5888888888888889,0.5222222222222223,0.4777777777777778,0.5111111111111111,0.4666666666666667,0.45555555555555555,111.0,114.0,118.0,113.0,114.0,114.0,114.0,115.0,0.5194444444444445,0.5166666666666666,0.047709900103660184,"('AreaShape',)","['Correlation', 'Granularity', 'Intensity', 'Neighbors', 'RadialDistribution', 'Texture']",795.0
0.5666666666666667,0.5777777777777777,0.5666666666666667,0.5111111111111111,0.5,0.5,0.5222222222222223,0.4888888888888889,104.0,108.0,110.0,105.0,107.0,107.0,107.0,111.0,0.5291666666666667,0.5166666666666666,0.03330438557856054,"('Intensity',)","['AreaShape', 'Correlation', 'Granularity', 'Neighbors', 'RadialDistribution', 'Texture']",732.0
0.5444444444444444,0.5444444444444444,0.6111111111111112,0.5111111111111111,0.5,0.4777777777777778,0.5,0.4666666666666667,103.0,102.0,108.0,105.0,104.0,103.0,105.0,103.0,0.5194444444444445,0.5055555555555555,0.04330127018922194,"('Texture',)","['AreaShape', 'Correlation', 'Granularity', 'Intensity', 'Neighbors', 'RadialDistribution']",327.0
0.5444444444444444,0.5333333333333333,0.5666666666666667,0.5111111111111111,0.4666666666666667,0.5,0.5111111111111111,0.5111111111111111,45.0,42.0,45.0,43.0,41.0,41.0,43.0,41.0,0.5180555555555555,0.5111111111111111,0.028293817760365773,"('Correlation', 'Texture')","['AreaShape', 'Granularity', 'Intensity', 'Neighbors', 'RadialDistribution']",159.0
0.5,0.5444444444444444,0.5111111111111111,0.45555555555555555,0.45555555555555555,0.4444444444444444,0.4444444444444444,0.3888888888888889,90.0,94.0,93.0,90.0,92.0,93.0,94.0,96.0,0.46805555555555556,0.45555555555555555,0.045282889963614174,"('Intensity', 'RadialDistribution')","['AreaShape', 'Correlation', 'Granularity', 'Neighbors', 'Texture']",696.0
