Percent Replicating,Target1 vs Target2,Plate Comparison
65.359477124183,Target1 - Target1,BR00117010 - BR00117011
57.51633986928104,Target1 - Target1,BR00117010 - BR00117012
57.84313725490197,Target1 - Target1,BR00117010 - BR00117013
56.209150326797385,Target1 - Target1,BR00117011 - BR00117012
61.43790849673203,Target1 - Target1,BR00117011 - BR00117013
53.59477124183007,Target1 - Target1,BR00117012 - BR00117013
30.270270270270274,Target1 - Target2,BR00117010 - BR00121434
30.64516129032258,Target1 - Target2,BR00117010 - BR00121435
30.107526881720432,Target1 - Target2,BR00117010 - BR00121440
32.972972972972975,Target1 - Target2,BR00117011 - BR00121434
32.25806451612903,Target1 - Target2,BR00117011 - BR00121435
29.03225806451613,Target1 - Target2,BR00117011 - BR00121440
27.56756756756757,Target1 - Target2,BR00117012 - BR00121434
26.344086021505376,Target1 - Target2,BR00117012 - BR00121435
26.344086021505376,Target1 - Target2,BR00117012 - BR00121440
31.351351351351354,Target1 - Target2,BR00117013 - BR00121434
30.64516129032258,Target1 - Target2,BR00117013 - BR00121435
30.64516129032258,Target1 - Target2,BR00117013 - BR00121440
64.91803278688525,Target2 - Target2,BR00121434 - BR00121435
66.22950819672131,Target2 - Target2,BR00121434 - BR00121440
66.66666666666666,Target2 - Target2,BR00121435 - BR00121440
